local_path,remote_url,repo_name
C:\github\Books,https://github.com/singh4java/Books.git,Books
C:\github\Deepracer\AWSDeepRacer,https://github.com/GoSleepBelall/AWSDeepRacer.git,AWSDeepRacer
C:\github\ha\ha-sqllite-2-influxdb,https://github.com/eldigo/ha-sqllite-2-influxdb,ha-sqllite-2-influxdb
C:\github\mytools\Compentio.Pipes,https://github.com/alekshura/Compentio.Pipes.git,Compentio.Pipes
C:\github\mytools\GitConfig,https://github.com/PeterDierckx78/GitConfig.git,GitConfig
C:\github\mytools\ISwimTools,git@github-gmail:PeterDierckx78/ISwimTools.git,ISwimTools
C:\github\mytools\MyToolbox,git@github-gmail:PeterDierckx78/MyToolbox.git,MyToolbox
C:\github\mytools\MyTools,https://github.com/PeterDierckx78/MyTools.git,MyTools
C:\github\mytools\QImageViewer,https://github.com/PeterDierckx78/QImageViewer.git,QImageViewer
C:\github\poc\mapbox-gl-traffic,https://github.com/mapbox/mapbox-gl-traffic.git,mapbox-gl-traffic
C:\github\poc\pdf\PDFsharp.Samples,https://github.com/empira/PDFsharp.Samples.git,PDFsharp.Samples
C:\github\poc\react-timeseries-charts,https://github.com/esnet/react-timeseries-charts.git,react-timeseries-charts
C:\github\poc\recharts,https://github.com/recharts/recharts.git,recharts
C:\github\trainings\infinity\cookiecutter-pypackage,https://github.com/audreyfeldroy/cookiecutter-pypackage.git,cookiecutter-pypackage
C:\github\trainings\infinity\infinictl,https://gitlab.transics-cicd.aws.zf.com/cloud-services/infinity/infinictl.git,infinictl
C:\github\trainings\infinity\infinity-workshop-peter-dierckx,https://gitlab.transics-cicd.aws.zf.com/cloud-services/infinity/playground/infinity-workshop-peter-dierckx.git,infinity-workshop-peter-dierckx
C:\github\trainings\react-native\appflow-rn-vanilla,https://github.com/ceceliacreates/appflow-rn-vanilla,appflow-rn-vanilla
C:\github\trainings\workshops_react_summit\react-workshop-rs,https://www.github.com/3perf/react-workshop-rs,react-workshop-rs
C:\github\trainings\workshops_react_summit\rtl-exercises,https://github.com/CodingItWrong/rtl-exercises.git,rtl-exercises
C:\github\trainings\workshops_react_summit\shoping-card-react-a11y-demo,https://github.com/AsafShochet/shoping-card-react-a11y-demo.git,shoping-card-react-a11y-demo
C:\github\trainings\workshops_react_summit\workshop-joy-datagrid,https://github.com/mui/workshop-joy-datagrid.git,workshop-joy-datagrid
C:\github\mytools\MyPythonScripts,https://github.com/PeterDierckx78/MyPythonScripts.git,MyPythonScripts
